date,Alameda,Alpine,Amador,Butte,Calaveras,California,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Unknown,Ventura,Yolo,Yuba,total
05/2020,89657,31,297,1532,446,3113311,152,41714,720,2721,69843,386,2750,58681,595,62310,18456,527,176,1436472,5098,2964,479,547,9659,0,1094,13789,3371,1321,202752,6468,124,216134,40408,2206,138900,207346,72046,25422,9886,60188,45398,95399,5681,1538,12,211,16102,14114,20277,1269,135,108,61089,113,62,36958,6411,766,6226622
05/2021,2718654,2697,113461,385006,66206,114000000,60098,2143345,43217,317008,3174707,75008,127969,885057,43501,3009183,716321,108701,161011,37374919,513902,173712,13296,122184,956603,11485,38976,1336054,305507,148287,7910784,716348,21672,9102214,3264505,187360,9075918,8646425,1134193,2256424,661128,1307778,1065457,3667999,502199,376884,1742,58331,1012098,927486,1736496,291584,156278,14960,1553324,124577,372,2517329,432162,185995,228000000
05/2022,8558257,3902,269134,1049365,230389,274000000,107759,6325539,188332,855838,7403942,156361,559816,1741030,128220,6017315,1613893,337738,279519,86848809,1172062,869072,77645,418459,1999164,23148,93569,2524286,842336,510196,17538429,2017730,94796,18700859,9017262,412790,18107569,23872692,4322785,5283830,1679837,4130093,2757975,10580921,1589798,961277,8541,139462,2654141,2762992,3712538,644980,376651,37050,3333226,405621,66960,5529009,1220132,500636,547000000
05/2023,11976423,4309,331292,1304753,281915,349000000,124969,8597370,247285,1086096,9233558,181271,733283,2222707,149502,7200719,1962407,426743,319321,109000000,1451606,1289645,105107,527889,2430345,30520,103664,3062508,1085675,634244,22408307,2552942,119753,22957887,11691974,552189,22185665,30626110,6204459,6592590,2079408,5775029,3511997,15026310,2153960,1138665,9672,171369,3579191,3576609,4548302,804897,450939,45962,4018031,527030,131913,6900719,1569462,627140,698000000
06/2020,161325,30,471,4706,1031,6247274,852,78217,1464,5672,178229,2289,4017,187571,773,159940,63927,1521,2348,2654435,17086,8773,639,1706,27997,30,1250,42802,8312,2741,443275,18025,202,481861,76409,5627,353964,368629,99311,85950,16961,89745,79954,134671,9985,3656,30,771,35743,30118,67468,3608,1444,390,121177,551,60,83457,12645,1433,12494548
06/2021,2669632,2627,111876,381350,65684,111000000,58854,2117142,43383,312725,3096698,73328,133118,862677,42268,2932271,696615,107374,157753,36342930,502224,171685,13180,123809,934310,12002,37965,1297983,299066,147751,7690924,710289,21481,8853619,3230541,182365,8824793,8443361,1110441,2214194,645618,1277698,1036954,3576734,489140,375675,1802,58796,998698,920495,1706772,287228,154032,14677,1512229,121924,360,2449905,423676,184736,223000000
06/2022,8987531,3865,272707,1060624,231136,278000000,106072,6593022,192512,873620,7430411,155351,574139,1738934,126798,5995107,1604890,341341,277399,87810849,1172966,934845,80983,425812,1995162,23205,92176,2542479,867657,517768,17817661,2055952,96764,18701654,9257559,424199,18057721,24300263,4612970,5333553,1713502,4372625,2804688,11211411,1634713,955586,8440,140631,2762961,2859790,3721260,646371,373820,36935,3318123,409709,68568,5589693,1275274,505287,556000000
06/2023,11635875,4170,321156,1265286,273599,338000000,121095,8350111,239754,1053280,8956008,175760,711109,2155907,144968,6978829,1902305,414022,309312,106000000,1407446,1254756,101843,511596,2355884,29580,100463,2968283,1053447,615025,21736511,2478322,116081,22240206,11349855,535796,21497796,29696377,6031315,6396750,2016571,5607489,3406766,14596038,2090790,1103671,9360,166251,3474145,3470753,4411457,781108,437517,44582,3892553,510874,127739,6691213,1521866,608525,677000000
07/2020,332789,56,2799,23717,3124,14268931,7759,230192,2322,18037,511827,8711,6704,294100,1417,566528,116626,5366,14831,5148449,60651,28807,1441,6088,122055,69,3017,121488,26062,8143,1108142,52086,781,1117641,278142,15919,967245,816736,180229,328956,49294,160785,172201,299134,28494,11050,42,2099,103244,83137,258362,17475,5846,695,268352,3424,62,214175,42832,9176,28537862
07/2021,2891164,2740,118824,406107,70404,118000000,62008,2296185,48111,337560,3247887,76706,149498,902185,44329,3068399,730713,123289,165004,38397144,529170,190301,14178,135339,980131,12956,39705,1353268,317745,163245,8112311,767218,23045,9310547,3493502,192041,9268853,8973698,1215375,2349437,679414,1362191,1091923,3775737,513801,397970,2089,62753,1076678,995199,1800712,306573,161651,15572,1577092,131127,388,2577086,453563,200395,236000000
